-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
-1, -1, -1
5, 572, 100
19, 696, 131
64, 842, 121
94, 970, 123
125, 1093, 122
156, 1219, 113
200, 1362, 103
197, 1202, 99
201, 1070, 98
205, 942, 104
208, 835, 98
214, 724, 102
209, 656, 96
222, 547, 98
218, 470, 97
220, 401, 99
209, 355, 116
236, 290, 100
244, 251, 100
250, 223, 97
262, 200, 98
272, 186, 98
286, 180, 103
284, 190, 90
290, 200, 87
299, 212, 89
318, 234, 96
314, 268, 84
327, 302, 82
342, 346, 85
344, 400, 75
355, 447, 78
365, 503, 74
370, 561, 70
382, 626, 65
386, 696, 57
394, 758, 61
402, 841, 57
410, 906, 51
421, 972, 57
421, 1023, 51
422, 943, 48
428, 862, 59
428, 800, 55
430, 743, 54
430, 687, 54
429, 639, 52
436, 600, 52
433, 561, 53
439, 530, 56
440, 502, 55
440, 485, 53
444, 471, 52
447, 463, 50
450, 456, 51
453, 458, 49
458, 460, 52
460, 470, 49
461, 484, 48
464, 499, 46
467, 522, 47
470, 547, 45
474, 568, 45
477, 597, 44
481, 631, 41
475, 670, 35
484, 708, 37
486, 741, 41
489, 783, 38
491, 827, 38
492, 834, 38
489, 783, 32
495, 743, 35
495, 706, 36
496, 676, 35
498, 648, 34
498, 617, 38
498, 596, 38
499, 583, 34
498, 568, 36
498, 556, 37
500, 548, 37
500, 544, 35
500, 545, 36
502, 550, 35
502, 551, 34
506, 564, 33
505, 575, 34
508, 584, 35
509, 603, 33
509, 624, 31
509, 648, 29
512, 674, 30
513, 704, 32
514, 730, 29
513, 760, 26
517, 766, 31
516, 738, 27
519, 708, 30
516, 685, 26
517, 662, 27
523, 643, 26
522, 626, 28
522, 611, 29
522, 600, 29
523, 592, 29
523, 589, 29
524, 587, 29
524, 584, 28
526, 587, 27
527, 593, 26
526, 598, 26
527, 608, 27
528, 621, 27
528, 636, 25
530, 652, 26
530, 670, 26
531, 690, 26
528, 715, 21
533, 736, 24
533, 709, 24
531, 690, 22
533, 670, 24
533, 653, 23
533, 639, 23
533, 628, 23
536, 618, 24
536, 611, 24
536, 607, 23
536, 603, 25
536, 603, 24
536, 606, 23
537, 610, 23
538, 617, 23
538, 625, 22
537, 634, 22
536, 648, 21
537, 662, 20
538, 676, 23
537, 696, 20
538, 699, 21
540, 678, 23
541, 667, 20
540, 652, 21
540, 639, 22
540, 629, 22
542, 620, 25
541, 618, 20
541, 615, 21
541, 612, 22
540, 614, 20
541, 617, 20
541, 621, 20
541, 628, 19
541, 635, 21
541, 645, 21
538, 657, 17
542, 671, 19
541, 685, 19
542, 673, 19
541, 660, 19
542, 648, 19
542, 639, 19
544, 632, 17
541, 625, 20
541, 621, 20
541, 618, 19
542, 618, 19
541, 620, 18
541, 624, 19
540, 629, 17
540, 636, 17
542, 643, 18
541, 653, 17
542, 666, 17
541, 667, 17
541, 654, 17
541, 645, 18
541, 638, 17
541, 631, 17
541, 625, 18
541, 624, 17
542, 621, 17
541, 622, 17
541, 620, 20
541, 628, 17
542, 632, 17
542, 638, 18
542, 646, 17
542, 656, 17
542, 653, 17
542, 643, 17
542, 636, 16
541, 631, 16
541, 625, 16
541, 625, 18
542, 621, 16
542, 622, 16
541, 624, 16
542, 625, 17
542, 631, 16
542, 636, 17
542, 645, 15
542, 648, 16
542, 639, 16
542, 632, 16
542, 626, 16
542, 622, 16
542, 621, 16
542, 620, 16
542, 621, 16
542, 622, 16
542, 631, 17
541, 632, 13
542, 639, 14
542, 639, 14
542, 631, 16
542, 626, 15
542, 622, 14
542, 620, 14
542, 618, 14
542, 618, 14
542, 620, 15
542, 622, 15
542, 628, 13
542, 634, 13
542, 631, 15
542, 625, 13
541, 621, 14
542, 618, 14
540, 618, 15
541, 617, 15
541, 618, 14
540, 621, 13
541, 624, 14
538, 629, 12
540, 625, 12
540, 621, 14
541, 617, 14
541, 615, 14
541, 615, 13
541, 615, 13
542, 618, 12
541, 621, 14
541, 625, 13
541, 620, 14
541, 617, 14
541, 614, 14
541, 612, 14
541, 614, 13
540, 615, 14
541, 618, 13
541, 621, 12
541, 617, 12
541, 612, 13
541, 612, 12
541, 612, 12
541, 612, 13
541, 615, 13
541, 617, 12
541, 612, 13
541, 610, 13
541, 608, 12
541, 608, 13
541, 610, 13
541, 612, 12
541, 611, 12
541, 608, 12
541, 607, 13
541, 607, 12
542, 607, 13
541, 610, 11
542, 608, 11
542, 606, 12
542, 606, 12
542, 606, 12
542, 607, 12
542, 608, 12
542, 606, 12
542, 603, 12
542, 604, 11
544, 604, 12
542, 606, 11
544, 603, 12
544, 601, 11
544, 601, 12
544, 603, 12
544, 603, 11
544, 601, 12
544, 600, 11
545, 601, 11
544, 601, 12
545, 598, 10
545, 598, 11
545, 598, 11
547, 598, 10
545, 597, 11
547, 597, 11
547, 596, 13
545, 596, 12
